商品ID,昵称,时间,评论,评分,图片,视频,追评,回复,点赞
10089087346095,a***2,2024-02-15 12:17:00,宝贝收到迫不及待就开始使用了，一直对vivo手机有一种独特的好感，物流也很快，客服服务态度也很好，整体都非常满意。,5,2,1,,,11
10089087346095,j***a,2024-03-05 14:27:07,外观很好看，用起来很方便，大小合适顺手，颜值还可以，价格实惠，发货速度超级快，昨天晚上买的另一天上午就到了。,5,5,0,,,0
10089087346095,初***海,2023-12-07 08:20:42,给妈妈买的，之前的苹果手机电量太不经用了，这个屏幕很大，电量也很大，还是快充，妈妈很喜欢❤️,5,3,0,,,0
10089087346095,u***i,2024-02-20 12:58:00,送给丈母娘的性价比太高了，老人用着正好流畅大屏太棒了！,5,4,1,,,0
10089087346095,j***子,2023-11-09 18:20:03,一直是vivo的忠实粉丝。又准备换手机了，做攻略看了vivo的其他机型，正好遇到双十一，知道y100即将发布，等呀等，等到出来之后，马上下单，收到货觉得非常喜欢，蓝色外壳，在灯光下那细闪的光芒非常赞呢，曲面大屏，看视频不要太完美吧！,5,3,0,,,2
10089087346095,7***2,2024-01-17 19:19:43,"外形外观：曲屏看起来高大尚颜色也漂亮
屏幕音效：超好爱不释手
拍照效果：清晰
运行速度：快不卡顿
其他特色：送了耳机正式想要的这种",5,2,0,,,5
10089087346095,七***髦,2024-03-23 22:15:58,手机已经收到了，物流速度很快，第二天就来了。这个颜色太好看了，仙气十足，手机用起来很流畅，待机时间长。,5,3,0,,,0
10089087346095,e***9,2024-02-28 09:19:08,说是买手机送赠品的，都快2月了，还说在路上,1,0,0,,非常抱歉给您带来不好的体验，看到您反馈小V立即致电回访，并根据您反馈的情况给出相应解释及处理方案，订单赠品已为您重新登记，还请您留意查收。另外，对于此次客服没有做到位的地方，小V向您表示最诚挚的歉意，我们后续一定加强管理培训，期待后续给您带来更好的服务，小V祝您生活愉快~【轻薄长续航 越级大内存】,0
10089087346095,余***9,2024-01-14 14:33:29,"外形外观：机子超薄，很漂亮。
能买到这么好的手机太幸运了，一点也不卡。很快。",5,2,0,,,0
10089087346095,j***k,2024-02-13 13:36:11,颜色造型都非常漂亮，系统也很流畅，还送了手机壳手机膜，大大的赞👍,5,3,0,,,0
