商品id,标题,价格,店铺,品牌,图片
100066930471,华为（HUAWEI）旗舰  Mate 60 12GB+512GB 雅川青|华为大额券,4999.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/239126/32/22217/50267/672199d7F974cdb63/3fba39f3620b1c67.jpg
100081500557,华为畅享 70 Pro 1亿像素超清影像40W超级快充5000mAh大电池 256GB 曜金黑 鸿蒙智能 |华为大额券,1395.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/97860/20/55514/50952/67219c9cF2799b26c/132f8de983567048.jpg
10115338371302,HUAWEI【0首付24期免息】华为 Pura 70/北斗卫星消息版 旗舰  雪域白 12GB+512GB【北斗卫星消息版】 12期免息,5446.00,京诚客白条分期旗舰店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/10319/25/26809/44318/66d7fc20Facd43145/a51839ef7b38c1bd.jpg
10107974572533,华为 华为mate60pro 链接选购】新品5G x50超高清一亿像素 奢华双曲屏 海量双存 巨量电池+疾速快充 典雅黑12+512GB 官方标配 蓝牙耳机套装版,2328.00,京采手机数码店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/58391/24/27215/89795/66c9e761Fea3818f2/752f9013bdb50141.png
10079787537138,		 华为（HUAWEI）华为畅享9 二手  智能机 工作机全网通4G 双卡 后置双摄智能美颜 幻夜黑 4G+64G  9成新,186.00,倩倩数码二手手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/220707/30/43651/61865/6679643fF277125b8/4e07d2da0cc28a62.png
10119257960782,华为 华为mate60 pro 选购 分期 免息 60X 7000mAh长续航 6.95英寸大屏 鸿蒙 畅享系列 【丹霞橙】512GB 24期分期【免息】,2599.00,荷尔手机专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/229031/6/20219/74394/66607f69F4e73f7b9/e4566eb42decae49.jpg
100095516761,HUAWEI Pura 70 雪域白 12GB+512GB 超高速风驰闪拍 第二代昆仑玻璃华为P70智能 |华为大额券,4999.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/241491/30/21261/48187/67219a02F02c1e557/b456f7ce439eadb8.jpg
10119713716303,华为 华为mate60pro选购链接】新品5G旗舰 X50超高清一亿像素 奢华双曲屏 海量双存 巨量电池 雨后初晴【12GB+512GB】 官方标配丨蓝牙套装版,2279.00,京团手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/230586/35/27053/102546/66eedc3bF9d6017aa/916d90c0232cabf4.jpg
100148810780,华为 nova 13 256GB 星耀黑 前置6000万超广角人像 AI修图 北斗卫星图片消息 鸿蒙智能直面屏,2649.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img10.360buyimg.com/n7/jfs/t1/205710/3/47369/42007/67235230F8a29948c/35ecf5fb5ede274d.jpg
100123450364,华为（HUAWEI）Pura 70 12GB+512GB 羽砂黑 北斗卫星消息版 第二代昆仑玻璃 华为P70智能 |华为大额券,5099.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/192891/36/50366/54365/672199e7Fc242e5c3/403b843a2174e727.jpg
100097037916,华为畅享 70z 6000mAh 长续航 HarmonyOS 4 流畅安全 幻夜黑 128GB 鸿蒙智能 HUAWEI,849.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/202850/9/47886/40674/67219e6fF02a76751/c7ff4e259ba34249.jpg
100107613718,HUAWEI Pura 70 Pro 雪域白 12GB+512GB 超高速风驰闪拍 超聚光微距长焦 华为P70智能 |华为大额券,5699.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/194504/36/44454/49378/67219a52F4eb537cc/a7f574e3d5e765bc.jpg
100036046739,华为大额券 | 华为智能门锁SE 猫眼版 高清猫眼 远程对讲 多种解锁方式 可充电锂电池 NFC电子锁,1348.90,华为京东自营官方旗舰店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/227247/8/28123/44515/6721cb28Fc010f2ab/5fef7b4147065df6.jpg
10115822400818,华为mate60pro链接选购 可选24期【分期】 现货速发 新品X50 5G  曲面屏 屏幕指纹 8+128GB 雨后初晴 【官方标配】,1499.00,旭达升手机专营店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/242700/28/8586/70316/6682525aFc4a6fb53/8fcf9d1bcacee741.jpg
100102316001,华为畅享 70S 6.75英寸AOD护眼大屏 8GB+256GB曜金黑 鸿蒙智能 【赠话费券】,1039.00,京东手机自营旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/94651/3/49460/46075/66f50ea2Fb03d118f/cbb87e7f61ef9fa9.jpg
100082432026,华为nova 12 100W智能快充Turbo 前置6000万4K超广角人像 256GB 樱语白 鸿蒙智能 |华为大额券,2499.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img11.360buyimg.com/n7/jfs/t1/242110/28/21648/44189/67219c9eFab937bfb/4be753aadd3f865a.jpg
10105580633099,		 华为P30 华为P30pro 华为p30二手 p30pro 二手华为  华为 p30 二手  华为P30 亮黑色 9新 8G+128G+【精美配件礼包】,549.00,桦翰二手手机专营店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/246391/29/20468/109658/6711fc90F23f0823d/5e1627c619e4babf.jpg
10109283449908,		 华为（HUAWEI）便宜华为畅享20通5G人脸指纹识别5000大电池6.6大屏128GB  畅享10e【珍珠白】4G 4GB+64GB,346.55,深圳华晟数码店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/174984/21/49691/67464/67191fbfF6ddb9569/4041995cc360a929.jpg
100081225483,华为 nova 12活力版 6000万超广角拍照 256GB 曜金黑 鸿蒙智能 【赠服务】,1789.00,京东手机自营旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/104575/22/49065/36711/66bda0baF6c123e43/d60f4422715a63fe.jpg
100072275914,华为/HUAWEI nova 11 SE前后双高清摄像  一亿像素光影人像 256GB 11号色 华为鸿蒙智能,1346.00,华为京东自营官方旗舰店,华为（HUAWEI）,//img14.360buyimg.com/n7/jfs/t1/246737/31/22347/62366/67219e87F2a46ca88/c10a9b976ea6b284.jpg
10020049318362,		 华为 HUAWEI 畅享10/畅享10E 6.3英寸屏幕全网通 1300万像素 二手  99新成色 畅享10E珍珠白 全网通(4G 128G),288.00,顺顺智二手商品专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/228076/22/5592/64159/6568362eF0c07739f/0ec75eda8ebff9f4.jpg
10098005301442,华为 华为mate60 pro店里选购 24期 免息畅享60x 新品 鸿蒙系统512G大内存6.95英寸屏NFC 【鎏金黑】512GB 12期白条 免息,2399.00,酷彼手机专营店,华为（HUAWEI）,//img12.360buyimg.com/n7/jfs/t1/149555/24/37618/108781/65a0ddbdFedbf0470/9f18278899a9688e.png
100074235238,华为 nova 11 SE前后双高清摄像  256GB 曜金黑 华为鸿蒙智能 【赠话费券】,1339.00,京东手机自营旗舰店,华为（HUAWEI）,//img13.360buyimg.com/n7/jfs/t1/203270/7/48133/61391/67234488Ffd341c0e/7b805156b99ecbbb.jpg
