,商品id,标题,价格,店铺,品牌,图片,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
0,10089087346095,vivo Y100 超薄5000mAh电池 6400万OIS光学防抖 44W超快闪充 5G 快充  琉云青 8GB  128GB,1249.0,vivo官方旗舰店,vivo,//img10.360buyimg.com/n7/jfs/t1/95979/2/38868/54912/65d80751F63d69ec6/1c898dbcf640d7f3.png.avif,2000,5,400,2000,0.99,20,20,2,2
1,100077414769,vivo iQOO Neo9 12GB+256GB 格斗黑 第二代骁龙8旗舰芯 自研电竞芯片Q1 IMX920 索尼大底主摄 5G,2299.0,iQOO京东自营官方旗舰店,vivo,//img14.360buyimg.com/n7/jfs/t1/109186/18/44378/69566/65bb14adF6b09c95c/5c62b9d4ff8004b1.jpg.avif,100000,5,24000,100000,0.97,300,200,200,300
3,100048172483,vivo iQOO Neo7 SE 12GB+256GB 星际黑  天玑8200 120W超快闪充 120Hz柔性直屏 5G游戏电竞性能,1899.0,iQOO京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/94725/29/43404/64417/65d8516cFba637369/e0de545d564cc7c7.jpg.avif,200000,5,75000,200000,0.97,1100,600,1100,900
4,100045503744,vivo iQOO Z7i 5000mAh轻薄长续航 5G强劲芯 128GB大内存 8GB+128GB 冰湖蓝 5G智能 iqooz7i 送学生送长辈,799.0,iQOO京东自营官方旗舰店,vivo,//img14.360buyimg.com/n7/jfs/t1/240145/31/4301/57446/65ba0dfaFe23a4a47/f2ade278096559e5.jpg.avif,100000,5,23000,100000,0.98,200,100,100,200
5,100057875893,vivo iQOO Neo8 12GB+256GB 夜岩 第一代骁龙8+ 自研芯片V1+ 120W超快闪充 144Hz高刷 5G,2299.0,iQOO京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/76763/25/22562/49204/646c8f17F35dc2f7d/8644c0ace2aa4513.jpg.avif,500000,5,91000,200000,0.96,1800,900,1700,1100
6,100071669841,vivo Y33t 6GB+128GB 晶莹紫 5000mAh电池 后置1300万像素 八核处理器 全网通 老人 ,649.0,vivo京东自营官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/167444/17/42522/68421/65d848a4Fa3f443fe/02148e00ac2d636d.jpg.avif,50000,5,6200,50000,0.97,70,80,80,70
7,100045503728,vivo iQOO Z7 12GB+256GB深空黑 120W超快闪充 等效5000mAh强续航 6400万像素 OIS光学防抖 5G iqooz7,1299.0,iQOO京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/238313/40/12266/59941/65ba0dfaF84b96027/c5ae7afdf7c0bc6a.jpg.avif,200000,5,35000,200000,0.97,500,300,500,300
8,100071669843,vivo X100 12GB+256GB 星迹蓝 蓝晶×天玑9300 5000mAh蓝海电池 蔡司超级长焦 120W双芯闪充 拍照 ,3999.0,vivo京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/167211/26/41954/93095/65d0e632Fa508e82f/ec1e42902260435d.jpg.avif,50000,5,20000,50000,0.98,1100,500,100,100
10,100061826798,vivo iQOO Z8 8GB+256GB 月瓷白 天玑 8200 120W超快闪充  5000mAh超长续航 5G,1699.0,iQOO京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/232893/5/12455/61701/65d55a27F987d6dd5/d91fb1c57bccf11a.jpg.avif,100000,5,23000,100000,0.97,300,200,300,300
12,100071197852,vivo iQOO 12 12GB+256GB传奇版 第三代骁龙 8 自研电竞芯片Q1 大底主摄潜望式长焦 5G,3999.0,iQOO京东自营官方旗舰店,vivo,//img12.360buyimg.com/n7/jfs/t1/94448/5/45822/70498/65d481abFdd7dac5a/e1355ec7316be55b.jpg.avif,50000,5,13000,50000,0.96,300,200,200,100
